movie_title,username,numeric_rating,likes,language,comment,cleaned_comment,sentiment
Dragonball Evolution,ourisallan,0.5,0,pt,Pior do que horrível,"['pior', 'do', 'que', 'horrível']",-1
Dragonball Evolution,gacentenaro,0.5,0,pt,"Uma aberração total. Cenas mal feitas e toscas que chega a dar vergonha, além de um roteiro horroroso. Que acaba sendo uma ofensa ao manga e o anime.","['uma', 'aberração', 'total', 'cenas', 'mal', 'feitas', 'e', 'toscas', 'que', 'chega', 'a', 'dar', 'vergonha', 'além', 'de', 'um', 'roteiro', 'horroroso', 'que', 'acaba', 'sendo', 'uma', 'ofensa', 'ao', 'manga', 'e', 'o', 'anime']",-1
Dragonball Evolution,hmneto,0.5,0,pt,"Uma série de erros e decisões feitas na maior má vontade já vista. Pra falar a verdade, é até um pouco surpreendente como objeto de estudo, talvez um dos maiores exemplos de como longa metragens podem ser grandes desastres.","['uma', 'série', 'de', 'erros', 'e', 'decisões', 'feitas', 'na', 'maior', 'má', 'vontade', 'já', 'vista', 'pra', 'falar', 'a', 'verdade', 'é', 'até', 'um', 'pouco', 'surpreendente', 'como', 'objeto', 'de', 'estudo', 'talvez', 'um', 'dos', 'maiores', 'exemplos', 'de', 'como', 'longa', 'metragens', 'podem', 'ser', 'grandes', 'desastres']",1
Dragonball Evolution,09rafa_alves,0.5,1,pt,acabaram com meu garoto...,"['acabaram', 'com', 'meu', 'garoto']",0
Dragonball Evolution,felps1811,1.0,0,pt,"Imagina o sentimento que um fã de Dragon Ball sentiu vendo isso, a dor corrosiva que eles sentiram deve ser indescritível.","['imagina', 'o', 'sentimento', 'que', 'um', 'fã', 'de', 'dragon', 'ball', 'sentiu', 'vendo', 'isso', 'a', 'dor', 'corrosiva', 'que', 'eles', 'sentiram', 'deve', 'ser', 'indescritível']",-1
Dragonball Evolution,washfreitas,0.5,1,pt,Estava precisando de uma meia estrela,"['estava', 'precisando', 'de', 'uma', 'meia', 'estrela']",0
Dragonball Evolution,clarallim,0.0,0,pt,Na minha memória afetiva era mais legal e o Goku era mais bonito,"['na', 'minha', 'memória', 'afetiva', 'era', 'mais', 'legal', 'e', 'o', 'goku', 'era', 'mais', 'bonito']",1
Dragonball Evolution,sandht2k,5.0,0,pt,Uma verdadeira Chama do cinema poucas vezes eu vi uma obra tão complexa onde tem:. Tudo por pau Tudo por vct Tudo por memes. Tudo por edit ruim Tudo por vídeo piada Tudo por zueira Uma verdadeira obra do cinema Murica parabains.,"['uma', 'verdadeira', 'chama', 'do', 'cinema', 'poucas', 'vezes', 'eu', 'vi', 'uma', 'obra', 'tão', 'complexa', 'onde', 'tem', 'tudo', 'por', 'pau', 'tudo', 'por', 'vct', 'tudo', 'por', 'memes', 'tudo', 'por', 'edit', 'ruim', 'tudo', 'por', 'vídeo', 'piada', 'tudo', 'por', 'zueira', 'uma', 'verdadeira', 'obra', 'do', 'cinema', 'murica', 'parabains']",1
Dragonball Evolution,jvstakashi,0.5,0,pt,"não ,apenas não. Americanos e o dom de estragar em tudo que tocam","['não', 'apenas', 'não', 'americanos', 'e', 'o', 'dom', 'de', 'estragar', 'em', 'tudo', 'que', 'tocam']",0
Dragonball Evolution,yannes008,0.5,0,pt,Eu ainda quero reassistir esse filme muito chapado um dia,"['eu', 'ainda', 'quero', 'reassistir', 'esse', 'filme', 'muito', 'chapado', 'um', 'dia']",0
Dragonball Evolution,irineu123,1.0,0,pt,"Antigamente eu gostava dessa filme, hoje em dia eu vejo q eu tava doido lkkkkk horrível","['antigamente', 'eu', 'gostava', 'dessa', 'filme', 'hoje', 'em', 'dia', 'eu', 'vejo', 'q', 'eu', 'tava', 'doido', 'lkkkkk', 'horrível']",-1
Dragonball Evolution,ycarovtw,0.5,3,pt,A Emmy Rossum de bulma KAKAKKAAKAKAKKAKAK,"['a', 'emmy', 'rossum', 'de', 'bulma', 'kakakkaakakakkakak']",0
Dragonball Evolution,victorpiacenti,1.0,0,pt,"Na minha memória era ruim, mas é bem pior. É um típico filminho picareta americano, extremamente genérico e que pouco explora o mundo riquíssimo de Dragonball.","['na', 'minha', 'memória', 'era', 'ruim', 'mas', 'é', 'bem', 'pior', 'é', 'um', 'típico', 'filminho', 'picareta', 'americano', 'extremamente', 'genérico', 'e', 'que', 'pouco', 'explora', 'o', 'mundo', 'riquíssimo', 'de', 'dragonball']",-1
Dragonball Evolution,buiauia,1.5,1,pt,revisitei essa obra prima na hora do almoço...são tantas coisas...a serem ditas...fico sem palavras...,"['revisitei', 'essa', 'obra', 'prima', 'na', 'hora', 'do', 'almoço...são', 'tantas', 'coisas...a', 'serem', 'ditas...fico', 'sem', 'palavras']",0
Dragonball Evolution,htoledo09,0.5,1,pt,Me sinto mais burro dps de ver isso,"['me', 'sinto', 'mais', 'burro', 'dps', 'de', 'ver', 'isso']",0
Dragonball Evolution,h4ruwata,5.0,2,pt,MELHOR FILME DO MUNDO (1 de abril,"['melhor', 'filme', 'do', 'mundo', '1', 'de', 'abril']",1
Dragonball Evolution,deniixz,5.0,0,pt,"O goku virou um adolescente que vai pra escola e briga em festas, melhor adaptação da história cinematográfica.","['o', 'goku', 'virou', 'um', 'adolescente', 'que', 'vai', 'pra', 'escola', 'e', 'briga', 'em', 'festas', 'melhor', 'adaptação', 'da', 'história', 'cinematográfica']",1
Dragonball Evolution,dsalioneli,0.5,0,pt,"é, não tem nada de bom nesse filme.","['é', 'não', 'tem', 'nada', 'de', 'bom', 'nesse', 'filme']",1
Dragonball Evolution,luanafadani,2.5,0,pt,achei uma adaptação pior q a dos filmes de percy jackson (mas me manteve entretida),"['achei', 'uma', 'adaptação', 'pior', 'q', 'a', 'dos', 'filmes', 'de', 'percy', 'jackson', 'mas', 'me', 'manteve', 'entretida']",-1
