movie_title,average_rating,recommendation
Dragonball Evolution,0.9,-1
365 Days: This Day,1.1,-1
365 Days,1.1,-1
The Next 365 Days,1.2,-1
Winnie the Pooh: Blood and Honey,1.1,-1
He's All That,1.2,-1
Titanic 666,1.5,-1
Jack and Jill,1.5,1
Madame Web,1.5,1
After We Fell,1.5,-1
Megamind vs. the Doom Syndicate,1.2,-1
Cats,1.3,-1
S. Darko,1.6,-1
Smosh: The Movie,1.7,1
After Earth,1.7,1
Dumb and Dumberer: When Harry Met Lloyd,1.7,1
Knights of the Zodiac,1.7,1
Descendants: The Rise of Red,1.7,1
Escape Plan 2: Hades,1.8,1
Ouija,1.8,-1
Fifty Shades of Grey,1.8,-1
Eragon,1.8,1
Internet - The Movie,1.8,1
Morbius,1.6,1
Snow White,2.0,1
Ant-Man and the Wasp: Quantumania,2.2,1
Black Adam,2.3,-1
Terrifier,2.4,-1
The Flash,2.5,1
Thor: Love and Thunder,2.4,1
Star Wars: The Rise of Skywalker,2.3,-1
Joker: Folie à Deux,2.4,1
Venom: Let There Be Carnage,2.5,1
Venom: The Last Dance,2.5,1
Dark Phoenix,2.1,-1
Samaritan,2.3,1
Mission: Impossible II,2.7,1
Eternals,2.7,1
Collateral Beauty,2.9,1
Spring Breakers,2.8,-1
Paranormal Activity,2.9,-1
The Bling Ring,2.9,1
The Punisher,2.9,1
A Minecraft Movie,2.7,1
Trap,2.7,1
Black Widow,2.9,1
Indiana Jones and the Dial of Destiny,2.9,1
Don't Worry Darling,3.0,1
Doctor Strange in the Multiverse of Madness,2.9,0
The Black Phone,3.3,1
The Blair Witch Project,3.3,-1
Companion,3.4,1
Gladiator II,3.3,1
Barbarian,3.5,-1
Shang-Chi and the Legend of the Ten Rings,3.4,1
Wonka,3.2,1
Talk to Me,3.5,1
Longlegs,3.3,1
Bodies Bodies Bodies,3.3,1
The Invisible Man,3.4,-1
X,3.4,1
Black Panther: Wakanda Forever,3.3,1
The Super Mario Bros. Movie,3.2,1
Zodiac,4.0,1
Spider-Man 2,3.9,1
Midnight in Paris,3.7,1
Mickey 17,3.6,1
Chuck Billy and The Marvelous Guava Tree,3.9,1
Nosferatu,3.7,1
Conclave,3.9,1
Mars One,3.9,1
Scream,4.0,1
Spider-Man: No Way Home,3.8,1
Challengers,3.9,1
Lost in Translation,3.8,1
Pearl,3.7,1
The Whale,3.7,-1
Parasite,4.5,1
The Grand Budapest Hotel,4.2,1
Inglourious Basterds,4.3,1
Fight Club,4.3,1
Before Sunrise,4.3,1
Gladiator,4.1,1
I'm Still Here,4.3,1
Dune: Part Two,4.4,1
The Banshees of Inisherin,4.1,-1
The Hunt,4.3,-1
City of God,4.5,1
The Dark Knight,4.5,1
Spider-Man: Across the Spider-Verse,4.4,1
Cinema Paradiso,4.5,1
The Godfather Part II,4.6,1
Harakiri,4.7,1
Fullmetal Alchemist: Brotherhood,4.7,1
Come and See,4.6,-1
Seven Samurai,4.6,1
12 Angry Men,4.6,1
Twin Peaks,4.6,1
Avatar Spirits,4.6,1
The Shawshank Redemption,4.6,1
