movie_title,username,numeric_rating,likes,language,comment
The Shawshank Redemption,namesnoms,5.0,0,en,I hope the pacific ocean os as blue as you say it is
The Shawshank Redemption,issjusmada,5.0,0,af,"Movie hit deep. "" Get busy living, or get busy dying """
The Shawshank Redemption,qwertyn,0.0,0,en,Final act of extreme joy and hopefulness
The Shawshank Redemption,jgarcia488,0.0,0,en,"Andy Dufresne might just be one of the greatest characters of all time. An unwavering spirit, one that we could all aspire to be, and it always makes me emotional seeing him feel out his freedom or the way Red wants to ""see his friend again"". The quintessential film for anyone losing faith in humanity. Never lose hope."
The Shawshank Redemption,alisonhi,5.0,0,af,I love movies Brooks 💔💔💔💔
The Shawshank Redemption,arancianna,4.0,0,it,Non ho mai superato la mia fase Stephen King. Praticamente gli ho finanziato anni di cocaina con tutti i libri/film suoi che ho letto/visto. Questo assolutamente uno dei suoi migliori lavori. Stephen ti amo non morire 🫶🏻
The Shawshank Redemption,josemathews,4.5,14,en,"I understand that everyone has their own opinions when it comes to movies, but seriously, to the 1.3k folks who gave this a ½ star, the 2.5k who went with 1 star, the 1.6k who chose 1½ stars, the 9k who rated it 2 stars, and the 9.2k who picked 2½ stars and anyone else who rated it below a 3½,you all have a special spot waiting for you in hell! Five Stars Club"
The Shawshank Redemption,alexbryan_,5.0,0,en,Could be the goat
The Shawshank Redemption,sathish_12,5.0,0,en,A cinematic masterpiece that inspires hope and 'thought provoking film ever I watched'
The Shawshank Redemption,reaguel,5.0,0,tr,Birşey söylemeye gerek yok
The Shawshank Redemption,maeveandmovies,2.0,0,en,"everyone should see it once, but any more times is psychotic. heavily monologue driven and trope-ridden (but i guess defined said tropes so gets a pass)"
The Shawshank Redemption,llleechan,5.0,0,en,"Oh my god. Idk why i havent watched this movie earlier its so good the cast the idea of the movie , and the ending ALSO  THE PLOT TWISTS HELLLOOOOOO??? Theres a REASON why this movie is the highest rated one on imdb and it is DESERVED."
The Shawshank Redemption,millsjohnston,5.0,0,ro,Favourite film oat
The Shawshank Redemption,wujangg,5.0,0,fr,Quel film omg j’ai tout aimé dedans
The Shawshank Redemption,marto5,4.5,1,es,"Todo un clásico. Una película que me han recomendado toda mi vida, 22 años he tardado en verla... ""No dejes para mañana lo que puedas hacer hoy"". Cuando te recomiendan ""cadena perpetua"" y no la has visto llegas a aborrecer que te la nombren constantemente. Cuando la terminas eres tú quien la recomienda. ""The shawshank redemption"", es una película inspiradora, cruel y justa a la vez; con unos personajes que calan hasta la médula. No es la típica película de…"
The Shawshank Redemption,gislidan,4.5,0,da,Beautiful mynd en ekki besta mynd sem hefur verið gerð tho
The Shawshank Redemption,leviereviews,5.0,1,en,"i’m gonna achieve nothing by trying to articulate my thoughts and feelings just minutes after watching the movie, so i guess i’ll just turn this into a proper review some time in the future. or not, because this is a classic and i’m pretty sure there are others who have already said what i wanna say, only better. anyway i’m glad i chose to watch this movie and honestly, i’m ashamed i’ve kept putting it so far down my list. gripping movie from start to finish."
The Shawshank Redemption,ziprevo,1.0,0,en,overrated. shitty length. nothing valid about this movie.
The Shawshank Redemption,lennoxtuff,5.0,0,en,“ BROOKS WAS HERE” watched in theology and it opened up another perspective of this film. andy is one of my favorite characters in all of cinema.
The Shawshank Redemption,jemra,5.0,0,en,I really like the phineas and ferb reference :)))))))
The Shawshank Redemption,azkabelle,4.0,0,id,"kerenn pantes dapet rating gede, kita berdua baru nonton film ini ditahun 2025 tapi masih kerasa bagus. paling ga ekspek bagian andi tibatiba kabur padahal kita udh mikir dia bakal bunuh diri apalagi megang tali beneran ga ketebak sama sekali plotnya. dari awal bahkan ga ditunjukin kemungkinan andi kabur cuma diberi clue seperti andi memegang palu kecil untuk kerajinan, padahal dia udah ngerencanain semuanya dari awal bahkan termasuk identitas palsu. walau andi ga bersalah tp keren banget, ini semua salah istri andi yg selingkuh."
The Shawshank Redemption,kieranbadhannn,5.0,0,en,the basics done exceptionally well
The Shawshank Redemption,achmadzaka,4.0,0,en,thank you. i need a dose of hope to finish my thesis.
The Shawshank Redemption,mmarcetm,5.0,0,pl,wow
The Shawshank Redemption,espressoflow,5.0,0,ar,قليل بحقه 5 فيلم ما يتكرر ويستاهل المدح اللي جاه احم اهمشي شوفه مورغان يالبى العبيد
The Shawshank Redemption,revolverkim,5.0,0,en,What a film
The Shawshank Redemption,wdcherry03,5.0,0,en,"Excellent movie, it really makes you think about the conditions of prisoners and how they are treated. That's the surface level feeling I got, but the message of hope, even in the most dire of circumstances, is done very well here. Andy is one of the most likeable characters in any movie, and Red is right up there with him. Brooks' story is very tragic, yet realistic concerning those who have lived in prison for lengthy periods. This is a very solid film, and while some of it was hard to watch, it is definitely enjoyable and one of my new favorites"
The Shawshank Redemption,nbygla666,4.5,0,en,It’s all HOPE
The Shawshank Redemption,kciryeltsa,5.0,0,en,"I don't care how much rating you give this movie but if you say this is boring, you are fucking lying. One of the greatest film ever. Every scene and beat of the story is so good and despite having watched it several times, it is still very enjoyable to watch"
The Shawshank Redemption,jegeearr,5.0,0,en,I hope.
The Shawshank Redemption,gehenne,4.5,0,fr,"Vu il y a quelques années Je ne m’attendais à rien en lançant le film, à la fin j’ai remercié les cieux qu’il soit tombé dans mes recommandations"
The Shawshank Redemption,critic_drew,5.0,0,en,"Overall:10/10 “It was perfect. Perfect. Everything, down to the last minute detail.”-Homelander There is nothing I can say about this movie that hasn’t already been said with that conclusion I would kindly advise anyone who has not seen this to watch it….NOW, LIKE RIGHT NOW! Nothing will change my mind. #Christian movie watcher"
The Shawshank Redemption,chelaa,3.5,0,en,Diva what
The Shawshank Redemption,thonyvictrola,5.0,0,pt,"Um filme tão bom, que pra mim é indescritível."
The Shawshank Redemption,supasshack,4.0,0,en,"Phenomenal movie. Everybody played their roles to perfection - you hate the warden and his captain. Tim Robbins and Morgan Freeman are brilliant, absolutely brilliant. Can watch it anytime."
The Shawshank Redemption,guysinger1,4.5,0,he,שליש אחרון סחב חזק
The Shawshank Redemption,chrisadamski,5.0,0,en,Greatest Movie of all time no question.
The Shawshank Redemption,mklabtsta,5.0,0,en,"Nothing can compare to the experience of watching this for the first time, while being alone in a dark room. That rain scene will always be iconic."
The Shawshank Redemption,zulu1111,5.0,0,es,ES CINE.
The Shawshank Redemption,keymiller,4.5,0,fr,"I guess, I just miss my friend"
The Shawshank Redemption,oliviaparkerrrr,5.0,0,ro,cinematic masterpiece
The Shawshank Redemption,lilslimg,5.0,0,en,"i turn to the greatest gift english 3 ever gave me, i’ll happily write or read an essay on this film any day."
The Shawshank Redemption,helen142,5.0,0,en,what could I say that hasn't already been said
The Shawshank Redemption,literat,5.0,1,en,My god that's phenomenal
The Shawshank Redemption,arlives,5.0,0,en,Brooks was here so was Red
The Shawshank Redemption,arthuurr__,5.0,0,fr,j’ai paaaas lteeemps mon espriiit vise ailleuuuues n’en déplaise à la petite frappe de fox river
The Shawshank Redemption,ehogger,5.0,1,fr,“I guess I just miss my friend”
The Shawshank Redemption,danielaantonb,4.5,0,da,Get busy living or get busy dying
The Shawshank Redemption,pkiryu1411,4.0,0,en,How did he put the poster back????
The Shawshank Redemption,nadificar,4.5,0,pt,o imdb realmente acertou nesse aqui
The Shawshank Redemption,mythicrory,5.0,0,nl,Hope
The Shawshank Redemption,vuria,5.0,0,en,"glad to have finally watched it, and it's as good as everyone says it is ...imagine if it was directed by stephen chow though"
