movie_title,username,numeric_rating,likes,language,comment
2001: A Space Odyssey,qaaio,2.5,0,ar,ياساتر اقسم بالله اغبى شي تابعته واكثر شي تمطيط شفته مزبله مزبله
2001: A Space Odyssey,ditapie,5.0,0,en,"This is the greatest film ever made. I can’t fully explain why, but something about it resonates with me in a way that transcends logic or analysis. I’d still prefer to watch Step Brothers though."
2001: A Space Odyssey,uchinagas,5.0,0,pt,como pode esse filme existir
2001: A Space Odyssey,laurkarasek,1.5,0,en,"Incredibly beautiful movie - especially for the time. Although the concept is great and way ahead of its time, about 15 total minutes of the film were interesting in part 3 and otherwise I was bored the whole time. Everything dragged on forever. Heavy breathing and barely anything on the screen for half the movie. I just dontttttt know about all that man. Not for me."
2001: A Space Odyssey,nickcaven,5.0,0,en,This movie is a slow burn masterpiece. Each scene feels like it goes on 5 minutes too long but by the end you feel like it couldn’t have gone on any other way. There’s about 100 movies I could name off the top of my head that pull inspiration from Kubrick's space odyssey. This was my first time watching and every couple of minutes I would go “oh that’s where that trope was born”. The music played out in this…
2001: A Space Odyssey,jparnold,5.0,0,en,"watching this made me lowkey emotional, like this is what people thought we’d achieve and we failed to do it"
2001: A Space Odyssey,suzukiyui,5.0,0,en,"The best sci-fi movie of all time hands down. Great cinematography considering the time that it was made, and a great ending. Perfect plot twist too, and the dialogues were natural as it can be."
2001: A Space Odyssey,mi1chick,4.0,0,fr,"Alors oui en notant comme ça on va remettre en question pas mal de notes que je mets mais je note à mon appréciation, pas forcément en jugeant la qualité intrinsèque du film. Donc étant un jeune né dans les années 2000 avec Star Wars, et après avoir vu des films comme Interstellar je trouve que c'est assez dur à juger comme film. Je l'ai vu deux fois, une fois à 13 ans et j'étais clairement trop petit pour voir…"
2001: A Space Odyssey,palmgx,4.0,7,en,Gets better on rewatch. 2001 tells a compelling story about human vs technology & AI. The over reliance on technology that can lead to the downfall of humanity. It also explores a theme about how human’s intelligence can cause destructive things. I love how there’s tension between human and AI. I can definitely see the influence this movie has on movies like Terminator and Alien. But 2001 did it first. The first 20 minutes opening was genius stuff. I love how…
2001: A Space Odyssey,lqueb,3.0,0,en,"I watched this while eating dinner before a theater show. Felt like I was high. I'll give a short summary. Guy goes to space, goes through space monolith which messes with time, becomes space Jesus, see's himself before he became space Jesus, and then he dies, but, like, gets reborn into space Jesus, and then dies as space Jesus. In conclusion, I have no idea what to rate this."
